epoch,ingredientes_acc,ingredientes_auc,ingredientes_loss,loss,peso_loss,peso_mae,val_ingredientes_acc,val_ingredientes_auc,val_ingredientes_loss,val_loss,val_peso_loss,val_peso_mae
0,0.6172555685043335,0.5090500116348267,0.6611433029174805,0.6768816113471985,1.535589575767517,1.537922739982605,0.741936206817627,0.49318787455558777,0.6093817949295044,0.6242591142654419,1.4887309074401855,1.4894158840179443
1,0.7859491109848022,0.547081470489502,0.5588645339012146,0.574396014213562,1.4964267015457153,1.4969267845153809,0.9114840030670166,0.5555111169815063,0.4013518989086151,0.4151817560195923,1.3859894275665283,1.3866552114486694
2,0.9023467898368835,0.5843026638031006,0.39586499333381653,0.4104916751384735,1.388658046722412,1.3915984630584717,0.9684755206108093,0.6255026459693909,0.209042027592659,0.22110365331172943,1.1987128257751465,1.1994173526763916
3,0.951727569103241,0.6356595158576965,0.25334060192108154,0.2660951018333435,1.2436399459838867,1.2451921701431274,0.9722146391868591,0.6990779638290405,0.13752371072769165,0.1481684446334839,1.053871989250183,1.054614782333374
4,0.9655609726905823,0.6836313605308533,0.17695926129817963,0.1881209909915924,1.1233983039855957,1.1216076612472534,0.972838819026947,0.7610672116279602,0.11348062008619308,0.12326691299676895,0.9688059091567993,0.9695593118667603
5,0.9688024520874023,0.728428065776825,0.14312754571437836,0.15341368317604065,1.043631672859192,1.0407867431640625,0.9733738899230957,0.807901918888092,0.10377416759729385,0.11309921741485596,0.9238355159759521,0.9245855808258057
6,0.9696823358535767,0.7623709440231323,0.12756028771400452,0.13741962611675262,0.9923034310340881,0.9914368987083435,0.9737365245819092,0.8370475172996521,0.09914381057024002,0.10825693607330322,0.9028272032737732,0.9035788178443909
7,0.9702100157737732,0.7881983518600464,0.11940887570381165,0.12902063131332397,0.9625728130340576,0.962357223033905,0.9738970398902893,0.8537316918373108,0.09583771973848343,0.10478875041007996,0.8869243264198303,0.8876705765724182
8,0.9704864621162415,0.8071855902671814,0.11442907154560089,0.12368975579738617,0.9484588503837585,0.9438440799713135,0.9741407632827759,0.8657829165458679,0.09351339936256409,0.1023927628993988,0.8797683119773865,0.880514919757843
9,0.9707421064376831,0.8167080283164978,0.11124272644519806,0.12071789056062698,0.9320048689842224,0.9310559630393982,0.9743071794509888,0.874238908290863,0.09153132885694504,0.1003451719880104,0.8734686374664307,0.8742102384567261
10,0.9710599184036255,0.8294344544410706,0.10806858539581299,0.11741647124290466,0.9222354888916016,0.9229049682617188,0.9745985269546509,0.880959153175354,0.08997062593698502,0.09874283522367477,0.8694867491722107,0.8702272772789001
11,0.971101701259613,0.8371555209159851,0.10657059401273727,0.11569134145975113,0.9174138903617859,0.9168248176574707,0.9746758341789246,0.8860846757888794,0.08864455670118332,0.09737641364336014,0.8655763268470764,0.8663119077682495
12,0.9715014696121216,0.8465887308120728,0.10395832359790802,0.11317065358161926,0.9130429625511169,0.9119216203689575,0.974717378616333,0.8907172083854675,0.08745385706424713,0.09616565704345703,0.8638132214546204,0.8645468354225159
13,0.9715133905410767,0.8531734347343445,0.10260310024023056,0.11188876628875732,0.9096402525901794,0.9085601568222046,0.9747589826583862,0.8950232863426208,0.08637149631977081,0.09506456553936005,0.8622241616249084,0.8629569411277771
14,0.9716635346412659,0.8573024272918701,0.10167913883924484,0.11075592786073685,0.9056154489517212,0.9057259559631348,0.9748718738555908,0.8995945453643799,0.08537369221448898,0.09405164420604706,0.8608443737030029,0.8615762591362
15,0.9717407822608948,0.8650309443473816,0.1002483069896698,0.10874337702989578,0.9076436758041382,0.9033974409103394,0.9749075770378113,0.9017459750175476,0.08449503034353256,0.09314657747745514,0.8585525751113892,0.8592789173126221
16,0.9719549417495728,0.8704109191894531,0.09837549179792404,0.10746170580387115,0.9017605185508728,0.9015493988990784,0.974984884262085,0.9065382480621338,0.08348767459392548,0.0921277403831482,0.8575328588485718,0.8582585453987122
17,0.9721018671989441,0.8739903569221497,0.09740845859050751,0.10633779317140579,0.897855818271637,0.8994934558868408,0.974984884262085,0.9086247682571411,0.08277419954538345,0.09141259640455246,0.8575007915496826,0.8582264184951782
18,0.972169041633606,0.8782573938369751,0.09645745158195496,0.1054193526506424,0.897519052028656,0.898500919342041,0.9751275777816772,0.9116825461387634,0.0819011852145195,0.09052234888076782,0.856066882610321,0.8567896485328674
19,0.9722477793693542,0.883815586566925,0.09471780806779861,0.10394810885190964,0.8944046497344971,0.897079348564148,0.9751630425453186,0.9136399030685425,0.08115658909082413,0.08976629376411438,0.8551040291786194,0.8558253645896912
20,0.972228467464447,0.8867799639701843,0.09435024857521057,0.10326685011386871,0.8958271145820618,0.8958775997161865,0.9751036167144775,0.9164581298828125,0.08038271218538284,0.08898738026618958,0.8548242449760437,0.8555440306663513
21,0.9724707007408142,0.888806939125061,0.09374279528856277,0.1024298146367073,0.892534077167511,0.8950972557067871,0.9751036763191223,0.9183530211448669,0.07960016280412674,0.08819212019443512,0.8539455533027649,0.8546640276908875
22,0.9725450873374939,0.893959641456604,0.09211278706789017,0.10107475519180298,0.8958530426025391,0.894296407699585,0.9751749634742737,0.9209126234054565,0.07884013652801514,0.08742096275091171,0.8530475497245789,0.8537642955780029
23,0.9726014137268066,0.8968645930290222,0.0913807824254036,0.1000150591135025,0.8922231197357178,0.8931531310081482,0.9752345681190491,0.9221169948577881,0.07826118916273117,0.08683254569768906,0.8524860143661499,0.8532006740570068
24,0.9726710915565491,0.8969050645828247,0.09122614562511444,0.09985972195863724,0.8947036266326904,0.8925532698631287,0.975311815738678,0.9242519736289978,0.07753872871398926,0.08611125499010086,0.8524097204208374,0.8531253933906555
25,0.9727781414985657,0.9015899300575256,0.08955023437738419,0.09861315041780472,0.8939799666404724,0.8920782804489136,0.9754070043563843,0.9263085126876831,0.07687341421842575,0.0854378417134285,0.8518114686012268,0.8525242805480957
26,0.9728556871414185,0.9057695865631104,0.08871009200811386,0.09728257358074188,0.8899022936820984,0.8913811445236206,0.9755020141601562,0.9277244210243225,0.07623699307441711,0.08479275554418564,0.8512532711029053,0.8519651889801025
27,0.9730488657951355,0.9084872603416443,0.08778304606676102,0.09656769782304764,0.8936752080917358,0.8907439112663269,0.9756031036376953,0.9292846918106079,0.07565080374479294,0.08419916033744812,0.8507843613624573,0.8514952659606934
28,0.9732478857040405,0.9095004200935364,0.08671829849481583,0.09581337124109268,0.8872285485267639,0.8901853561401367,0.975638747215271,0.9313626885414124,0.07502035796642303,0.0835648849606514,0.8504157662391663,0.851125955581665
29,0.9731453061103821,0.9116268157958984,0.08664879202842712,0.0952942743897438,0.8909108638763428,0.889719545841217,0.9758051633834839,0.9320827126502991,0.07453440874814987,0.08307825028896332,0.8503830432891846,0.8510927557945251
